%time CLK vector_0_5 outpu_analog_source
0.000273 1 4.94788059301 0
0.000274 1 4.94325872369 0
0.000275 1 4.93844170298 0
0.000276 1 4.93342972104 0
0.000277 1 4.92822297574 0
0.000278 1 4.92282167265 0
0.000279 1 4.91722602498 0
0.00028 1 4.91143625364 0
0.000281 1 4.90545258722 0
0.000282 1 4.89927526192 0
0.000283 1 4.89290452163 0
0.000284 1 4.88634061784 0
0.000285 1 4.87958380969 0
0.000286 1 4.87263436393 0
0.000287 1 4.86549255491 0
0.000288 1 4.85815866457 0
0.000289 1 4.85063298245 0
0.00029 1 4.84291580564 0
0.000291 1 4.83500743881 0
0.000292 1 4.82690819417 0
0.000293 1 4.81861839145 0
0.000294 1 4.81013835793 0
0.000295 1 4.80146842838 0
0.000296 1 4.79260894509 0
0.000297 1 4.78356025779 0
0.000298 1 4.77432272373 0
0.000299 1 4.76489670759 0
0.0003 1 4.75528258148 0
0.000301 1 4.74548072495 0
0.000302 1 4.73549152497 0
0.000303 1 4.7253153759 0
0.000304 1 4.71495267946 0
0.000305 1 4.70440384477 0
0.000306 1 4.69366928827 0
0.000307 1 4.68274943374 0
0.000308 1 4.67164471228 0
0.000309 1 4.66035556229 0
0.00031 1 4.64888242944 0
0.000311 1 4.63722576667 0
0.000312 1 4.62538603417 0
0.000313 1 4.61336369935 0
0.000314 1 4.60115923683 0
0.000315 1 4.58877312842 0
0.000316 1 4.5762058631 0
0.000317 1 4.56345793702 0
0.000318 1 4.55052985342 0
0.000319 1 4.53742212271 0
0.00032 1 4.52413526233 0
0.000321 1 4.51066979684 0
0.000322 1 4.49702625783 0
0.000323 1 4.48320518393 0
0.000324 1 4.46920712076 0
0.000325 1 4.45503262094 0
0.000326 1 4.44068224407 0
0.000327 1 4.42615655666 0
0.000328 1 4.41145613217 0
0.000329 1 4.39658155095 0
0.00033 1 4.38153340022 0
0.000331 1 4.36631227405 0
0.000332 1 4.35091877335 0
0.000333 1 4.33535350582 0
0.000334 1 4.31961708596 0
0.000335 1 4.30371013502 0
0.000336 1 4.28763328097 0
0.000337 1 4.2713871585 0
0.000338 1 4.25497240897 0
0.000339 1 4.23838968043 0
0.00034 1 4.22163962751 0
0.000341 1 4.20472291149 0
0.000342 1 4.18764020021 0
0.000343 1 4.17039216807 0
0.000344 1 4.15297949598 0
0.000345 1 4.13540287137 0
0.000346 1 4.11766298814 0
0.000347 1 4.09976054663 0
0.000348 1 4.08169625359 0
0.000349 1 4.06347082217 0
0.00035 1 4.04508497187 0
0.000351 1 4.02653942856 0
0.000352 1 4.00783492435 0
0.000353 1 3.98897219769 0
0.000354 1 3.96995199324 0
0.000355 1 3.95077506188 0
0.000356 1 3.93144216068 0
0.000357 1 3.91195405288 0
0.000358 1 3.89231150784 0
0.000359 1 3.87251530099 0
0.00036 1 3.85256621388 0
0.000361 1 3.83246503405 0
0.000362 1 3.81221255506 0
0.000363 1 3.79180957644 0
0.000364 1 3.77125690368 0
0.000365 1 3.75055534815 0
0.000366 1 3.72970572712 0
0.000367 1 3.70870886369 0
0.000368 1 3.68756558679 0
0.000369 1 3.66627673111 0
0.00037 1 3.64484313711 0
0.000371 1 3.62326565094 0
0.000372 1 3.60154512444 0
0.000373 1 3.57968241511 0
0.000374 1 3.55767838605 0
0.000375 1 3.53553390593 0
0.000376 1 3.51324984899 0
0.000377 1 3.49082709497 0
0.000378 1 3.46826652906 0
0.000379 1 3.44556904194 0
0.00038 1 3.42273552964 0
0.000381 1 3.39976689361 0
0.000382 1 3.37666404061 0
0.000383 1 3.35342788268 0
0.000384 1 3.33005933717 0
0.000385 1 3.30655932662 0
0.000386 1 3.28292877876 0
0.000387 1 3.2591686265 0
0.000388 1 3.23527980785 0
0.000389 1 3.21126326588 0
0.00039 1 3.18711994874 0
0.000391 1 3.16285080957 0
0.000392 1 3.13845680645 0
0.000393 1 3.11393890244 0
0.000394 1 3.08929806545 0
0.000395 1 3.06453526826 0
0.000396 1 3.03965148847 0
0.000397 1 3.01464770845 0
0.000398 1 2.98952491529 0
0.000399 1 2.96428410081 0
0.0004 1 2.93892626146 0
0.000401 1 2.91345239834 0
0.000402 1 2.88786351711 0
0.000403 1 2.86216062797 0
0.000404 1 2.83634474563 0
0.000405 1 2.81041688926 0
0.000406 1 2.78437808244 0
0.000407 1 2.75822935314 0
0.000408 1 2.73197173367 0
0.000409 1 2.70560626063 0
0.00041 1 2.67913397489 0
0.000411 1 2.65255592153 0
0.000412 1 2.62587314981 0
0.000413 1 2.5990867131 0
0.000414 1 2.57219766891 0
0.000415 1 2.54520707875 0
0.000416 1 2.51811600818 0
0.000417 1 2.4909255267 0
0.000418 1 2.46363670774 0
0.000419 1 2.43625062863 0
0.00042 1 2.40876837051 0
0.000421 1 2.38119101834 0
0.000422 1 2.35351966083 0
0.000423 1 2.32575539039 0
0.000424 1 2.29789930311 0
0.000425 1 2.2699524987 0
0.000426 1 2.24191608045 0
0.000427 1 2.21379115519 0
0.000428 1 2.18557883325 0
0.000429 1 2.1572802284 0
0.00043 1 2.12889645783 0
0.000431 1 2.10042864206 0
0.000432 1 2.07187790497 0
0.000433 1 2.04324537368 0
0.000434 1 2.01453217857 0
0.000435 1 1.98573945317 0
0.000436 1 1.95686833419 0
0.000437 1 1.92791996139 0
0.000438 1 1.89889547761 0
0.000439 1 1.86979602869 0
0.00044 1 1.84062276342 0
0.000441 1 1.81137683352 0
0.000442 1 1.78205939357 0
0.000443 1 1.75267160096 0
0.000444 1 1.72321461587 0
0.000445 1 1.69368960123 0
0.000446 1 1.66409772261 0
0.000447 1 1.63444014827 0
0.000448 1 1.60471804904 0
0.000449 1 1.57493259828 0
0.00045 1 1.54508497187 0
0.000451 1 1.51517634816 0
0.000452 1 1.48520790789 0
0.000453 1 1.45518083414 0
0.000454 1 1.42509631235 0
0.000455 1 1.3949555302 0
0.000456 1 1.36475967759 0
0.000457 1 1.3345099466 0
0.000458 1 1.30420753145 0
0.000459 1 1.27385362842 0
0.00046 1 1.24344943582 0
0.000461 1 1.21299615398 0
0.000462 1 1.18249498512 0
0.000463 1 1.15194713338 0
0.000464 1 1.12135380475 0
0.000465 1 1.09071620698 0
0.000466 1 1.06003554961 0
0.000467 1 1.02931304385 0
0.000468 1 0.998549902572 0
0.000469 1 0.967747340254 0
0.00047 1 0.936906572929 0
0.000471 1 0.906028818136 0
0.000472 1 0.875115294876 0
0.000473 1 0.844167223564 0
0.000474 1 0.813185825974 0
0.000475 1 0.782172325201 0
0.000476 1 0.751127945604 0
0.000477 1 0.720053912761 0
0.000478 1 0.688951453423 0
0.000479 1 0.657821795461 0
0.00048 1 0.626666167822 0
0.000481 1 0.595485800474 0
0.000482 1 0.564281924367 0
0.000483 1 0.533055771376 0
0.000484 1 0.501808574256 0
0.000485 1 0.470541566593 0
0.000486 1 0.439255982754 0
0.000487 1 0.407953057841 0
0.000488 1 0.37663402764 0
0.000489 1 0.345300128572 0
0.00049 1 0.313952597647 0
0.000491 1 0.28259267241 0
0.000492 1 0.251221590899 0
0.000493 1 0.219840591589 0
0.000494 1 0.18845091335 0
0.000495 1 0.157053795391 0
0.000496 1 0.125650477217 0
0.000497 1 0.094242198577 0
0.000498 1 0.0628301994168 0
0.000499 1 0.0314157198278 0
0.0005 0 6.12323399574e-16 0
0.000501 0 -0.0314157198278 0
0.000502 0 -0.0628301994168 0
0.000503 0 -0.094242198577 0
0.000504 0 -0.125650477217 0
0.000505 0 -0.157053795391 0
0.000506 0 -0.18845091335 0
0.000507 0 -0.219840591589 0
0.000508 0 -0.251221590899 0
0.000509 0 -0.28259267241 0
0.00051 0 -0.313952597647 0
0.000511 0 -0.345300128572 0
0.000512 0 -0.37663402764 0
0.000513 0 -0.407953057841 0
0.000514 0 -0.439255982754 0
0.000515 0 -0.470541566593 0
0.000516 0 -0.501808574256 0
0.000517 0 -0.533055771376 0
0.000518 0 -0.564281924367 0
0.000519 0 -0.595485800474 0
0.00052 0 -0.626666167822 0
0.000521 0 -0.657821795461 0
0.000522 0 -0.688951453423 0
0.000523 0 -0.720053912761 0
0.000524 0 -0.751127945604 0
0.000525 0 -0.782172325201 0
0.000526 0 -0.813185825974 0
0.000527 0 -0.844167223564 0
0.000528 0 -0.875115294876 0
0.000529 0 -0.906028818136 0
0.00053 0 -0.936906572929 0
0.000531 0 -0.967747340254 0
0.000532 0 -0.998549902572 0
0.000533 0 -1.02931304385 0
0.000534 0 -1.06003554961 0
0.000535 0 -1.09071620698 0
0.000536 0 -1.12135380475 0
0.000537 0 -1.15194713338 0
0.000538 0 -1.18249498512 0
0.000539 0 -1.21299615398 0
0.00054 0 -1.24344943582 0
0.000541 0 -1.27385362842 0
0.000542 0 -1.30420753145 0
0.000543 0 -1.3345099466 0
0.000544 0 -1.36475967759 0
0.000545 0 -1.3949555302 0
0.000546 0 -1.42509631235 0
0.000547 0 -1.45518083414 0
0.000548 0 -1.48520790789 0
0.000549 0 -1.51517634816 0
0.00055 0 -1.54508497187 0
0.000551 0 -1.57493259828 0
0.000552 0 -1.60471804904 0
0.000553 0 -1.63444014827 0
0.000554 0 -1.66409772261 0
0.000555 0 -1.69368960123 0
0.000556 0 -1.72321461587 0
0.000557 0 -1.75267160096 0
0.000558 0 -1.78205939357 0
0.000559 0 -1.81137683352 0
0.00056 0 -1.84062276342 0
0.000561 0 -1.86979602869 0
0.000562 0 -1.89889547761 0
0.000563 0 -1.92791996139 0
0.000564 0 -1.95686833419 0
0.000565 0 -1.98573945317 0
0.000566 0 -2.01453217857 0
0.000567 0 -2.04324537368 0
0.000568 0 -2.07187790497 0
0.000569 0 -2.10042864206 0
0.00057 0 -2.12889645783 0
0.000571 0 -2.1572802284 0
0.000572 0 -2.18557883325 0
0.000573 0 -2.21379115519 0
0.000574 0 -2.24191608045 0
0.000575 0 -2.2699524987 0
0.000576 0 -2.29789930311 0
0.000577 0 -2.32575539039 0
0.000578 0 -2.35351966083 0
0.000579 0 -2.38119101834 0
0.00058 0 -2.40876837051 0
0.000581 0 -2.43625062863 0
0.000582 0 -2.46363670774 0
0.000583 0 -2.4909255267 0
0.000584 0 -2.51811600818 0
0.000585 0 -2.54520707875 0
0.000586 0 -2.57219766891 0
0.000587 0 -2.5990867131 0
0.000588 0 -2.62587314981 0
0.000589 0 -2.65255592153 0
0.00059 0 -2.67913397489 0
0.000591 0 -2.70560626063 0
0.000592 0 -2.73197173367 0
0.000593 0 -2.75822935314 0
0.000594 0 -2.78437808244 0
0.000595 0 -2.81041688926 0
0.000596 0 -2.83634474563 0
0.000597 0 -2.86216062797 0
0.000598 0 -2.88786351711 0
0.000599 0 -2.91345239834 0
0.0006 0 -2.93892626146 0
0.000601 0 -2.96428410081 0
0.000602 0 -2.98952491529 0
0.000603 0 -3.01464770845 0
0.000604 0 -3.03965148847 0
0.000605 0 -3.06453526826 0
0.000606 0 -3.08929806545 0
0.000607 0 -3.11393890244 0
0.000608 0 -3.13845680645 0
0.000609 0 -3.16285080957 0
0.00061 0 -3.18711994874 0
0.000611 0 -3.21126326588 0
